,part,sex,group,age_months,condition,ME13
1,CH01,F,1,115,IMRE_ME13,71.49
2,CH02,F,1,114,IMRE_ME13,70.29
3,CH05,M,1,135,IMRE_ME13,69.19
4,CH06,M,1,136,IMRE_ME13,68.13
5,CH07,F,1,97,IMRE_ME13,71.51
6,CH08,F,1,100,IMRE_ME13,72.37
7,CH09,M,1,145,IMRE_ME13,69.43
8,CH10,M,1,144,IMRE_ME13,69.48
9,CH13,M,1,98,IMRE_ME13,68.54
10,CH15,M,1,98,IMRE_ME13,71.14
11,CH16,M,1,124,IMRE_ME13,69.64
12,CH17,M,1,140,IMRE_ME13,69.04
13,CH18,F,1,104,IMRE_ME13,71.68
14,CH19,F,1,99,IMRE_ME13,68.64
15,CH20,F,1,155,IMRE_ME13,68.34
16,CH21,F,1,153,IMRE_ME13,69.57
17,CH22,M,1,126,IMRE_ME13,70.73
18,CH23,M,1,132,IMRE_ME13,69.18
19,CH32,F,1,127,IMRE_ME13,71.03
20,CH33,F,1,135,IMRE_ME13,71.93
21,CH03,F,2,176,IMRE_ME13,66.93
22,CH04,F,2,185,IMRE_ME13,68.25
23,CH11,M,2,170,IMRE_ME13,65.57
24,CH12,M,2,167,IMRE_ME13,67.27
25,CH24,F,2,192,IMRE_ME13,65.33
26,CH25,F,2,193,IMRE_ME13,66.34
27,CH26,F,2,215,IMRE_ME13,67.84
28,CH27,F,2,215,IMRE_ME13,67.08
29,CH28,F,2,195,IMRE_ME13,68.91
30,CH29,F,2,207,IMRE_ME13,68.87
31,CH30,M,2,206,IMRE_ME13,65.91
32,CH31,M,2,212,IMRE_ME13,56.68
33,CH34,F,2,184,IMRE_ME13,67.14
34,CH35,F,2,171,IMRE_ME13,67.43
35,YA01,F,3,277,IMRE_ME13,68.2
36,YA02,F,3,318,IMRE_ME13,67.46
37,YA03,F,3,265,IMRE_ME13,67.2
38,YA04,F,3,264,IMRE_ME13,69.75
39,YA05,F,3,257,IMRE_ME13,69.74
40,YA06,F,3,295,IMRE_ME13,65.15
41,YA07,F,3,258,IMRE_ME13,68.87
42,YA08,F,3,267,IMRE_ME13,69.72
43,YA09,F,3,271,IMRE_ME13,67.22
44,YA10,F,3,241,IMRE_ME13,68.09
45,YA11,M,3,269,IMRE_ME13,66.06
46,YA12,M,3,266,IMRE_ME13,67.82
47,YA13,M,3,242,IMRE_ME13,66.71
48,YA14,M,3,266,IMRE_ME13,65.79
49,YA15,M,3,233,IMRE_ME13,66.15
50,YA16,M,3,244,IMRE_ME13,67.45
51,YA17,M,3,230,IMRE_ME13,62.92
52,YA18,M,3,244,IMRE_ME13,65.43
53,YA19,M,3,277,IMRE_ME13,67.49
54,YA20,M,3,241,IMRE_ME13,63.1
55,MA01,F,4,436,IMRE_ME13,68.13
56,MA02,F,4,476,IMRE_ME13,69.11
57,MA03,F,4,441,IMRE_ME13,68.33
58,MA04,F,4,431,IMRE_ME13,67.76
59,MA05,M,4,467,IMRE_ME13,68.41
60,MA06,M,4,506,IMRE_ME13,58.59
61,MA11,F,4,596,IMRE_ME13,67.6
62,MA12,F,4,599,IMRE_ME13,70.31
63,MA13,F,4,557,IMRE_ME13,65.36
64,MA14,F,4,554,IMRE_ME13,67.4
65,MA15,M,4,597,IMRE_ME13,65.71
