id,part,sex,group,age_months,condition,rate
1,CH01,F,1,115,IMRE_artrate,3.11
2,CH02,F,1,114,IMRE_artrate,3.23
3,CH05,M,1,135,IMRE_artrate,3.47
4,CH06,M,1,136,IMRE_artrate,3.6
5,CH07,F,1,97,IMRE_artrate,3.37
6,CH08,F,1,100,IMRE_artrate,2.7
7,CH09,M,1,145,IMRE_artrate,3.89
8,CH10,M,1,144,IMRE_artrate,3.46
9,CH13,M,1,98,IMRE_artrate,3.88
10,CH15,M,1,98,IMRE_artrate,3.07
11,CH16,M,1,124,IMRE_artrate,3.57
12,CH17,M,1,140,IMRE_artrate,3.93
13,CH18,F,1,104,IMRE_artrate,2.69
14,CH19,F,1,99,IMRE_artrate,2.55
15,CH20,F,1,155,IMRE_artrate,3.51
16,CH21,F,1,153,IMRE_artrate,4.38
17,CH22,M,1,126,IMRE_artrate,3.82
18,CH23,M,1,132,IMRE_artrate,4.08
19,CH32,F,1,127,IMRE_artrate,3.23
20,CH33,F,1,135,IMRE_artrate,3.64
21,CH03,F,2,176,IMRE_artrate,3.57
22,CH04,F,2,185,IMRE_artrate,3.89
23,CH11,M,2,170,IMRE_artrate,5.14
24,CH12,M,2,167,IMRE_artrate,4.37
25,CH24,F,2,192,IMRE_artrate,3.76
26,CH25,F,2,193,IMRE_artrate,3.27
27,CH26,F,2,215,IMRE_artrate,4.16
28,CH27,F,2,215,IMRE_artrate,4.62
29,CH28,F,2,195,IMRE_artrate,4.22
30,CH29,F,2,207,IMRE_artrate,4.26
31,CH30,M,2,206,IMRE_artrate,4.76
32,CH31,M,2,212,IMRE_artrate,4.08
33,CH34,F,2,184,IMRE_artrate,3.45
34,CH35,F,2,171,IMRE_artrate,3.83
35,YA01,F,3,277,IMRE_artrate,5.3
36,YA02,F,3,318,IMRE_artrate,4.7
37,YA03,F,3,265,IMRE_artrate,3.76
38,YA04,F,3,264,IMRE_artrate,4.38
39,YA05,F,3,257,IMRE_artrate,4.64
40,YA06,F,3,295,IMRE_artrate,3.97
41,YA07,F,3,258,IMRE_artrate,4.26
42,YA08,F,3,267,IMRE_artrate,4.83
43,YA09,F,3,271,IMRE_artrate,3.57
44,YA10,F,3,241,IMRE_artrate,3.91
45,YA11,M,3,269,IMRE_artrate,4.29
46,YA12,M,3,266,IMRE_artrate,5.05
47,YA13,M,3,242,IMRE_artrate,4.62
48,YA14,M,3,266,IMRE_artrate,4.61
49,YA15,M,3,233,IMRE_artrate,4.16
50,YA16,M,3,244,IMRE_artrate,4
51,YA17,M,3,230,IMRE_artrate,4.45
52,YA18,M,3,244,IMRE_artrate,4.14
53,YA19,M,3,277,IMRE_artrate,3.89
54,YA20,M,3,241,IMRE_artrate,4.32
55,MA01,F,4,436,IMRE_artrate,4.21
56,MA02,F,4,476,IMRE_artrate,4
57,MA03,F,4,441,IMRE_artrate,4.32
58,MA04,F,4,431,IMRE_artrate,4.35
59,MA05,M,4,467,IMRE_artrate,4.79
60,MA06,M,4,506,IMRE_artrate,5
61,MA11,F,4,596,IMRE_artrate,4.22
62,MA12,F,4,599,IMRE_artrate,4.32
63,MA13,F,4,557,IMRE_artrate,3.43
64,MA14,F,4,554,IMRE_artrate,3.97
65,MA15,M,4,597,IMRE_artrate,3.99
66,MA16,M,4,515,IMRE_artrate,3.97
67,MA17,M,4,573,IMRE_artrate,4.34
68,MA18,M,4,558,IMRE_artrate,4.25
69,MA19,M,4,432,IMRE_artrate,4.69
70,MA20,M,4,438,IMRE_artrate,4.89
71,MA21,M,4,588,IMRE_artrate,4.23
72,MA22,M,4,547,IMRE_artrate,4
73,MA23,F,4,488,IMRE_artrate,4.26
74,MA24,F,4,528,IMRE_artrate,4.22
75,OA01,F,5,774,IMRE_artrate,3.78
76,OA02,F,5,745,IMRE_artrate,3.85
77,OA05,F,5,705,IMRE_artrate,3.62
78,OA06,F,5,717,IMRE_artrate,3.81
79,OA07,F,5,708,IMRE_artrate,3.57
80,OA08,F,5,708,IMRE_artrate,3.92
81,OA26,F,5,779,IMRE_artrate,3.96
82,OA27,F,5,780,IMRE_artrate,4.15
83,OA32,F,5,771,IMRE_artrate,4.03
84,OA33,F,5,732,IMRE_artrate,4.01
85,OA39,M,5,715,IMRE_artrate,3.58
86,OA40,M,5,733,IMRE_artrate,4.84
87,OA41,M,5,641,IMRE_artrate,4.01
88,OA42,M,5,685,IMRE_artrate,3.86
89,OA43,M,5,613,IMRE_artrate,4.14
90,OA44,M,5,656,IMRE_artrate,4.82
91,OA45,M,5,770,IMRE_artrate,3.84
92,OA46,M,5,705,IMRE_artrate,3.96
93,OA47,M,5,649,IMRE_artrate,3.67
94,OA48,M,5,643,IMRE_artrate,4.51
95,OA09,F,6,920,IMRE_artrate,3.15
96,OA11,F,6,884,IMRE_artrate,3.98
97,OA13,F,6,858,IMRE_artrate,3.4
98,OA14,F,6,820,IMRE_artrate,3.46
99,OA15,F,6,893,IMRE_artrate,3.74
100,OA16,F,6,801,IMRE_artrate,3.75
101,OA17,M,6,819,IMRE_artrate,4.22
102,OA18,M,6,834,IMRE_artrate,3.26
103,OA20,M,6,903,IMRE_artrate,3.38
104,OA21,M,6,797,IMRE_artrate,3.75
105,OA23,M,6,913,IMRE_artrate,3.8
106,OA24,F,6,892,IMRE_artrate,4.47
107,OA25,F,6,895,IMRE_artrate,3.56
108,OA29,M,6,781,IMRE_artrate,4.16
109,OA30,F,6,799,IMRE_artrate,3.12
110,OA31,F,6,893,IMRE_artrate,3.41
111,OA34,M,6,787,IMRE_artrate,4.16
112,OA35,M,6,830,IMRE_artrate,4.31
113,OA36,M,6,800,IMRE_artrate,3.62
114,OA37,M,6,949,IMRE_artrate,3.79
115,CH01,F,1,115,IMUR_artrate,3.17
116,CH02,F,1,114,IMUR_artrate,3.5
117,CH05,M,1,135,IMUR_artrate,3.76
118,CH06,M,1,136,IMUR_artrate,3.24
119,CH07,F,1,97,IMUR_artrate,3.22
120,CH08,F,1,100,IMUR_artrate,3.03
121,CH09,M,1,145,IMUR_artrate,3.79
122,CH10,M,1,144,IMUR_artrate,3.49
123,CH13,M,1,98,IMUR_artrate,3.87
124,CH15,M,1,98,IMUR_artrate,2.63
125,CH16,M,1,124,IMUR_artrate,3.77
