,part,sex,group,age_months,condition,f0
1,CH01,F,1,115,IMRE_medianf0st,104.29
2,CH02,F,1,114,IMRE_medianf0st,104.4
3,CH05,M,1,135,IMRE_medianf0st,102.84
4,CH06,M,1,136,IMRE_medianf0st,99.83
5,CH07,F,1,97,IMRE_medianf0st,104.51
6,CH08,F,1,100,IMRE_medianf0st,106.14
7,CH09,M,1,145,IMRE_medianf0st,96.88
8,CH10,M,1,144,IMRE_medianf0st,96.44
9,CH13,M,1,98,IMRE_medianf0st,101.5
10,CH15,M,1,98,IMRE_medianf0st,103.53
11,CH16,M,1,124,IMRE_medianf0st,103.13
12,CH17,M,1,140,IMRE_medianf0st,101.18
13,CH18,F,1,104,IMRE_medianf0st,101.55
14,CH19,F,1,99,IMRE_medianf0st,99.44
15,CH20,F,1,155,IMRE_medianf0st,94.11
16,CH21,F,1,153,IMRE_medianf0st,94.65
17,CH22,M,1,126,IMRE_medianf0st,100.94
18,CH23,M,1,132,IMRE_medianf0st,97.66
19,CH32,F,1,127,IMRE_medianf0st,98.97
20,CH33,F,1,135,IMRE_medianf0st,102.44
21,CH03,F,2,176,IMRE_medianf0st,94.68
22,CH04,F,2,185,IMRE_medianf0st,91.33
23,CH11,M,2,170,IMRE_medianf0st,88.6
24,CH12,M,2,167,IMRE_medianf0st,90.38
25,CH24,F,2,192,IMRE_medianf0st,92.77
26,CH25,F,2,193,IMRE_medianf0st,92.11
27,CH26,F,2,215,IMRE_medianf0st,91.61
28,CH27,F,2,215,IMRE_medianf0st,94.59
29,CH28,F,2,195,IMRE_medianf0st,96.17
30,CH29,F,2,207,IMRE_medianf0st,96.16
31,CH30,M,2,206,IMRE_medianf0st,86.77
32,CH31,M,2,212,IMRE_medianf0st,83.81
33,CH34,F,2,184,IMRE_medianf0st,92.16
34,CH35,F,2,171,IMRE_medianf0st,89.21
35,YA01,F,3,277,IMRE_medianf0st,90.24
36,YA02,F,3,318,IMRE_medianf0st,91.3
37,YA03,F,3,265,IMRE_medianf0st,92.2
38,YA04,F,3,264,IMRE_medianf0st,93.55
39,YA05,F,3,257,IMRE_medianf0st,94.9
40,YA06,F,3,295,IMRE_medianf0st,89.65
41,YA07,F,3,258,IMRE_medianf0st,94.78
42,YA08,F,3,267,IMRE_medianf0st,95.65
43,YA09,F,3,271,IMRE_medianf0st,94.05
44,YA10,F,3,241,IMRE_medianf0st,92.23
45,YA11,M,3,269,IMRE_medianf0st,86.33
46,YA12,M,3,266,IMRE_medianf0st,86.22
47,YA13,M,3,242,IMRE_medianf0st,88.3
48,YA14,M,3,266,IMRE_medianf0st,87.59
49,YA15,M,3,233,IMRE_medianf0st,87.48
50,YA16,M,3,244,IMRE_medianf0st,85.32
51,YA17,M,3,230,IMRE_medianf0st,82.11
52,YA18,M,3,244,IMRE_medianf0st,78.8
53,YA19,M,3,277,IMRE_medianf0st,82.42
54,YA20,M,3,241,IMRE_medianf0st,83.15
55,MA01,F,4,436,IMRE_medianf0st,89.72
56,MA02,F,4,476,IMRE_medianf0st,92.09
57,MA03,F,4,441,IMRE_medianf0st,92.03
58,MA04,F,4,431,IMRE_medianf0st,89.31
59,MA05,M,4,467,IMRE_medianf0st,85.89
60,MA06,M,4,506,IMRE_medianf0st,85.39
61,MA11,F,4,596,IMRE_medianf0st,91.77
62,MA12,F,4,599,IMRE_medianf0st,92.87
63,MA13,F,4,557,IMRE_medianf0st,92.38
64,MA14,F,4,554,IMRE_medianf0st,91.39
65,MA15,M,4,597,IMRE_medianf0st,85.71
66,MA16,M,4,515,IMRE_medianf0st,85.25
67,MA17,M,4,573,IMRE_medianf0st,87.42
68,MA18,M,4,558,IMRE_medianf0st,84.22
69,MA19,M,4,432,IMRE_medianf0st,85.82
70,MA20,M,4,438,IMRE_medianf0st,81.18
71,MA21,M,4,588,IMRE_medianf0st,89.19
72,MA22,M,4,547,IMRE_medianf0st,89.82
73,MA23,F,4,488,IMRE_medianf0st,93.2
74,MA24,F,4,528,IMRE_medianf0st,94.1
75,OA01,F,5,774,IMRE_medianf0st,95.27
76,OA02,F,5,745,IMRE_medianf0st,99.4
77,OA05,F,5,705,IMRE_medianf0st,91.96
78,OA06,F,5,717,IMRE_medianf0st,91
79,OA07,F,5,708,IMRE_medianf0st,95.13
80,OA08,F,5,708,IMRE_medianf0st,95.94
81,OA26,F,5,779,IMRE_medianf0st,93.32
82,OA27,F,5,780,IMRE_medianf0st,93.08
83,OA32,F,5,771,IMRE_medianf0st,92.21
84,OA33,F,5,732,IMRE_medianf0st,94.77
85,OA39,M,5,715,IMRE_medianf0st,87.17
86,OA40,M,5,733,IMRE_medianf0st,88.83
87,OA41,M,5,641,IMRE_medianf0st,86.84
88,OA42,M,5,685,IMRE_medianf0st,86.88
89,OA43,M,5,613,IMRE_medianf0st,84.49
90,OA44,M,5,656,IMRE_medianf0st,81.98
91,OA45,M,5,770,IMRE_medianf0st,90.07
92,OA46,M,5,705,IMRE_medianf0st,84.22
93,OA47,M,5,649,IMRE_medianf0st,88.23
94,OA48,M,5,643,IMRE_medianf0st,88.85
95,OA09,F,6,920,IMRE_medianf0st,92.24
96,OA11,F,6,884,IMRE_medianf0st,91.2
97,OA13,F,6,858,IMRE_medianf0st,92.11
98,OA14,F,6,820,IMRE_medianf0st,93.64
99,OA15,F,6,893,IMRE_medianf0st,92.7
100,OA16,F,6,801,IMRE_medianf0st,92.35
101,OA17,M,6,819,IMRE_medianf0st,84.93
102,OA18,M,6,834,IMRE_medianf0st,88.14
103,OA20,M,6,903,IMRE_medianf0st,90.52
104,OA21,M,6,797,IMRE_medianf0st,85
105,OA23,M,6,913,IMRE_medianf0st,90.95
106,OA24,F,6,892,IMRE_medianf0st,91.75
107,OA25,F,6,895,IMRE_medianf0st,92.35
108,OA29,M,6,781,IMRE_medianf0st,87.95
109,OA30,F,6,799,IMRE_medianf0st,92.65
110,OA31,F,6,893,IMRE_medianf0st,93.57
111,OA34,M,6,787,IMRE_medianf0st,84.91
112,OA35,M,6,830,IMRE_medianf0st,91.24
113,OA36,M,6,800,IMRE_medianf0st,89.38
114,OA37,M,6,949,IMRE_medianf0st,90.18
457,CH01,F,1,115,IMUR_medianf0st,103.09
458,CH02,F,1,114,IMUR_medianf0st,103.34
459,CH05,M,1,135,IMUR_medianf0st,102.25
460,CH06,M,1,136,IMUR_medianf0st,98.9
461,CH07,F,1,97,IMUR_medianf0st,105.21
462,CH08,F,1,100,IMUR_medianf0st,106.14
463,CH09,M,1,145,IMUR_medianf0st,97.15
464,CH10,M,1,144,IMUR_medianf0st,96.11
465,CH13,M,1,98,IMUR_medianf0st,101.13
466,CH15,M,1,98,IMUR_medianf0st,103.18
467,CH16,M,1,124,IMUR_medianf0st,102.82
468,CH17,M,1,140,IMUR_medianf0st,100.84
469,CH18,F,1,104,IMUR_medianf0st,101.54
470,CH19,F,1,99,IMUR_medianf0st,100.44
471,CH20,F,1,155,IMUR_medianf0st,94.56
472,CH21,F,1,153,IMUR_medianf0st,94.28
473,CH22,M,1,126,IMUR_medianf0st,100.02
474,CH23,M,1,132,IMUR_medianf0st,97.6
475,CH32,F,1,127,IMUR_medianf0st,98.33
