part,sex,group,age_months,IMRE_diff_f0_median,SPSN_diff_f0_median,IMRE_diff_ME13,SPSN_diff_ME13,IMRE_diff_SS,SPSN_diff_SS
CH01,F,1,115,6.15,4.82,4.73,4.21,-0.87,-0.73
CH02,F,1,114,3.87,6.65,3.38,3.85,-0.58,-0.81
CH05,M,1,135,3.59,4.21,3.33,3.4,-0.13,0.15
CH06,M,1,136,6.12,4.86,8.72,8.37,0.11,0.21
CH07,F,1,97,2.19,4.45,1.67,1.86,-0.95,-1.21
CH08,F,1,100,4.43,5.76,1.46,2.09,-0.67,-0.65
CH09,M,1,145,2.62,3.22,3.87,4.51,-0.07,-0.18
CH10,M,1,144,2.31,3.36,2.82,3.7,-0.37,-0.17
CH13,M,1,98,3.95,7.38,2.44,3.42,0.24,-0.14
CH15,M,1,98,3.03,4.95,0.83,0.1,-0.18,-0.42
CH16,M,1,124,4.44,6.11,2.68,3.23,-0.58,-0.46
CH17,M,1,140,3.84,4.5,1.05,2.47,-0.32,-0.71
CH18,F,1,104,3.2,5.83,2.66,3.71,-0.52,-0.46
CH19,F,1,99,2.03,2.32,4,4.91,-0.15,-0.06
CH20,F,1,155,1.49,1.92,3.35,3.88,-0.48,-0.3
CH21,F,1,153,1.44,1.51,1.97,2.18,-0.54,-0.55
CH22,M,1,126,5.87,5.72,4.13,3.81,-0.18,-0.22
CH23,M,1,132,1.87,3.49,2.27,3.58,-0.07,-0.08
CH32,F,1,127,2.54,4.19,2.44,2.71,-0.33,-0.14
CH33,F,1,135,1.76,3.44,1,1.01,-0.03,0.05
CH03,F,2,176,0.91,1.66,3.65,5.03,-0.34,-0.07
CH04,F,2,185,1.22,1.2,2.47,3.1,-0.42,-0.42
CH11,M,2,170,3.29,2.65,1.47,0.99,0.08,0.1
CH12,M,2,167,1.78,2.7,3.21,4.51,-0.33,-0.29
CH24,F,2,192,1.69,2.76,4.84,6.82,-0.15,-0.3
CH25,F,2,193,0.63,0.87,2.07,1.47,0,-0.18
CH26,F,2,215,2.2,2.17,4.2,5.07,-0.1,-0.05
CH27,F,2,215,0.43,1.19,2.25,2.93,0.26,0.15
CH28,F,2,195,1.47,1.01,4.66,4.77,-0.08,-0.13
CH29,F,2,207,1.88,2.75,2.28,2.78,-0.48,-0.25
CH30,M,2,206,4.25,4.69,3.72,4.61,-0.26,-0.05
CH31,M,2,212,3.77,3.62,-0.92,-1.06,-0.08,-0.18
CH34,F,2,184,1.74,2.83,3.4,3.79,-0.4,-0.1
CH35,F,2,171,1.56,1.7,3.58,3.68,-0.69,-0.68
YA01,F,3,277,1.85,1.91,3.2,2.59,-0.15,0.17
YA02,F,3,318,2.94,3.34,5.13,5.05,-0.04,-0.26
YA03,F,3,265,4.5,5.54,3.11,3.45,0.22,0.12
YA04,F,3,264,2.77,2.64,4.83,3.6,-0.05,-0.05
YA05,F,3,257,1.61,2.02,3.66,4.33,0.06,-0.06
YA06,F,3,295,1.4,1.92,7.5,8.07,-0.01,0.07
YA07,F,3,258,3.21,3.88,0.9,1.25,0.01,0.02
YA08,F,3,267,2.07,2.77,2.28,2.68,-0.29,-0.49
YA09,F,3,271,2.21,3.43,4.69,6.87,-0.18,-0.17
YA10,F,3,241,1.21,1.36,1.4,1.88,0.08,-0.02
YA11,M,3,269,4.06,3.84,4.37,4.57,-0.48,-0.38
YA12,M,3,266,3.68,5.15,0.06,0.32,-0.2,-0.3
YA13,M,3,242,3.93,4.67,6.96,7.75,-0.21,-0.5
YA14,M,3,266,2.84,3,1.97,1.57,-0.06,-0.03
YA15,M,3,233,7.38,6.81,3.08,3.34,-0.02,-0.3
YA16,M,3,244,3.93,4.49,3.13,3.78,-0.09,0.01
YA17,M,3,230,1.67,3.02,3.57,4.91,-0.21,-0.19
YA18,M,3,244,1.4,2.35,1.57,2.95,-0.32,-0.57
YA19,M,3,277,2.94,4.37,3.47,4.55,-0.32,-0.09
YA20,M,3,241,3.05,5.35,3.08,4.82,-0.19,-0.42
MA01,F,4,436,1.84,2.77,2.48,2.81,-0.34,-0.27
MA02,F,4,476,1.85,4.15,3.44,4.97,-0.13,-0.09
MA03,F,4,441,1.74,1.67,2.34,2.11,-0.43,-0.54
MA04,F,4,431,2.15,3.37,3.06,3.85,-0.25,-0.37
MA05,M,4,467,2.01,4.24,0.95,1.96,0.34,0.06
MA06,M,4,506,3.36,5.86,0.92,3.02,-0.06,-0.34
MA11,F,4,596,2.63,3.23,4.12,3.8,-0.15,-0.23
MA12,F,4,599,1.62,2.09,1.21,1.53,-0.17,0.06
MA13,F,4,557,2.02,1.91,2.35,2.42,-0.08,0.13
MA14,F,4,554,2.08,1.77,3.41,3.41,-0.04,0.15
MA15,M,4,597,4.97,4.74,1.35,1.62,-0.22,-0.08
MA16,M,4,515,2.74,4.22,3.55,4.29,-0.26,-0.04
MA17,M,4,573,4.89,6.65,3.19,3.72,-0.14,-0.52
MA18,M,4,558,1.86,3.1,2.81,3.09,-0.01,-0.13
MA19,M,4,432,4.18,5.63,4.69,6,-0.22,0.17
MA20,M,4,438,2.21,3.27,2.77,3.64,-0.36,-0.29
MA21,M,4,588,3.98,5.18,2.06,2.32,-0.14,-0.09
MA22,M,4,547,4.3,4.95,0.92,1.4,-0.27,-0.11
MA23,F,4,488,2.54,2.93,5.15,5.03,-0.3,-0.48
MA24,F,4,528,2.92,5.6,1.6,2.81,-0.48,-0.33
OA01,F,5,774,5.67,5.37,5.02,4.75,-0.26,-0.42
OA02,F,5,745,5.68,5.09,1.98,1.51,-0.71,-0.46
OA05,F,5,705,2.12,2.45,2.73,2.25,-0.15,0.06
OA06,F,5,717,2.54,4.65,1.35,2.03,-0.13,-0.01
OA07,F,5,708,2.06,2.92,1.85,3.04,-0.36,-0.3
OA08,F,5,708,2.07,3.74,1.23,1.71,-0.24,-0.22
OA26,F,5,779,4.6,5.75,3.85,4.74,-0.82,-0.73
